prefetch_count,arrival_rate,sample_id,setpoint
1,108.87110219047817,1,1000
4,295.0508424928822,2,1000
7,790.5269355239423,3,1000
8,880.5987198846929,4,1000
9,967.9653729002807,5,1000
10,967.053181943504,6,1000
11,1091.6205915009098,7,1000
11,1097.1775476095704,8,1000
11,1130.6838523953536,9,1000
11,1117.7768072900521,10,1000
11,731.5505183977915,11,1000
13,737.7810919952899,12,1000
15,795.4991378685191,13,1000
16,723.7326532233827,14,1000
18,814.6151808247392,15,1000
19,728.9051527840372,16,1000
20,750.9660353048092,17,1000
20,814.4375914950593,18,1000
20,739.0782766248116,19,1000
20,812.7697223866378,20,1000
20,784.7482921029341,21,1000
20,733.020514677269,22,1000
20,830.9811668148385,23,1000
20,722.0784684721875,24,1000
20,797.595607266777,25,1000
20,769.6724743673432,26,1000
20,731.5920831628197,27,1000
20,832.673658772363,28,1000
20,728.3746980205771,29,1000
20,775.5787350763002,30,1000
20,790.442054966386,31,1000
20,693.1885590921888,32,1000
20,868.464069150498,33,1000
20,748.8241622644867,34,1000
20,673.9370713733739,35,1000
20,803.6859132307202,36,1000
20,729.9840403708215,37,1000
20,802.4780490139863,38,1000
20,771.6716181623569,39,1000
20,750.8492681780324,40,1000
20,818.1672573998784,41,1000
20,720.1275423057353,42,1000
20,789.9323502301687,43,1000
20,760.6265048558246,44,1000
20,769.900906717447,45,1000
20,823.4316605184015,46,1000
20,721.247639146477,47,1000
20,810.8787056684646,48,1000
20,782.2971836358373,49,1000
20,728.1452802199542,50,1000
